Id_Kilometrajes;Módulo;kilometraje;Fecha
230883;M01;1.285.885,00;11/12/2025
230777;M01;1.285.268,00;10/12/2025
230671;M01;1.284.878,00;09/12/2025
230565;M01;1.284.461,00;08/12/2025
230459;M01;1.284.461,00;07/12/2025
230353;M01;1.283.964,00;06/12/2025
230247;M01;1.283.416,00;05/12/2025
230141;M01;1.282.838,00;04/12/2025
230035;M01;1.282.433,00;03/12/2025
229929;M01;1.281.932,00;02/12/2025
229823;M01;1.281.425,00;01/12/2025
229717;M01;1.280.992,00;30/11/2025
229611;M01;1.280.456,00;29/11/2025
229505;M01;1.279.888,00;28/11/2025
229398;M01;1.279.656,00;27/11/2025
229292;M01;1.279.165,00;26/11/2025
229186;M01;1.278.635,00;25/11/2025
229080;M01;1.278.520,00;24/11/2025
228974;M01;1.278.087,00;23/11/2025
228868;M01;1.277.580,00;22/11/2025
228762;M01;1.277.361,00;21/11/2025
228656;M01;1.276.817,00;20/11/2025
228550;M01;1.276.335,00;19/11/2025
228444;M01;1.276.127,00;18/11/2025
228338;M01;1.275.638,00;17/11/2025
228126;M01;1.275.273,00;15/11/2025
228020;M01;1.274.789,00;14/11/2025
227914;M01;1.274.346,00;13/11/2025
227808;M01;1.273.805,00;12/11/2025
227702;M01;1.273.312,00;11/11/2025
227596;M01;1.272.773,00;10/11/2025
227490;M01;1.272.326,00;09/11/2025
227384;M01;1.271.797,00;08/11/2025
227278;M01;1.271.285,00;07/11/2025
227172;M01;1.270.765,00;06/11/2025
227066;M01;1.270.455,00;05/11/2025
226854;M01;1.272.153,00;04/11/2025
226748;M01;1.269.421,00;03/11/2025
226642;M01;1.269.104,00;02/11/2025
226536;M01;1.268.576,00;01/11/2025
226430;M01;1.268.059,00;31/10/2025
226324;M01;1.267.553,00;30/10/2025
226218;M01;1.267.029,00;29/10/2025
226112;M01;1.268.611,00;28/10/2025
226006;M01;1.265.957,00;27/10/2025
225900;M01;1.265.956,00;26/10/2025
225794;M01;1.265.466,00;25/10/2025
225688;M01;1.265.002,00;24/10/2025
225582;M01;1.264.470,00;23/10/2025
225476;M01;1.263.905,00;22/10/2025
225370;M01;1.263.342,00;21/10/2025
225264;M01;1.262.871,00;20/10/2025
225052;M01;1.262.351,00;18/10/2025
224946;M01;1.261.801,00;17/10/2025
224840;M01;1.261.267,00;16/10/2025
224734;M01;1.260.662,00;15/10/2025
224628;M01;1.260.101,00;14/10/2025
224522;M01;1.259.730,00;13/10/2025
224416;M01;1.259.649,00;12/10/2025
224310;M01;1.259.175,00;11/10/2025
224204;M01;1.261.234,00;10/10/2025
224098;M01;1.260.744,00;09/10/2025
