Id_OT_Simaf;Formaciones;Módulos;OT_Simaf;Ingreso;Tipo_Tarea;Tarea;Km;Fecha_Inicio;Fecha_Fin;Observaciones;Clase_Vehículos
31486;157;1;42575;Programado;Preventivo;IQ3;1.281.425,00;30/11/2025;01/12/2025;;C
31350;157;1;40438;Programado;Preventivo;IQ2;1.275.638,00;16/11/2025;17/11/2025;;C
31244;157;1;38705;Programado;Preventivo;IQ1;1.270.765,00;05/11/2025;06/11/2025;;C
31124;157;1;37020;Programado;Preventivo;IB;1.265.957,00;26/10/2025;27/10/2025;;C
30961;157;1;34575;Programado;Preventivo;IQ3;1.259.175,00;10/10/2025;11/10/2025;;C
30824;157;1;32387;Programado;Preventivo;IQ2;1.253.446,00;27/09/2025;28/09/2025;;C
30699;157;1;30472;Programado;Preventivo;IQ1;1.247.635,00;15/09/2025;16/09/2025;;C
30455;157;1;26937;Programado;Preventivo;AN4;1.243.942,00;22/08/2025;05/09/2025;;C
30293;157;1;24967;Programado;Preventivo;IB;1.237.862,00;10/08/2025;11/08/2025;;C
30168;157;1;23033;Programado;Preventivo;IQ3;1.232.869,00;28/07/2025;29/07/2025;;C
30065;157;1;21394;Programado;Preventivo;IQ2;1.227.186,00;16/07/2025;17/07/2025;;C
29930;157;1;19344;Programado;Preventivo;IQ1;1.222.088,00;02/07/2025;03/07/2025;;C
29802;157;1;17426;Programado;Preventivo;IB;1.215.987,00;19/06/2025;20/06/2025;;C
29639;157;1;15180;Programado;Preventivo;IQ3;1.209.190,00;04/06/2025;05/06/2025;;C
29479;157;1;13057;Programado;Preventivo;IQ2;1.201.913,00;20/05/2025;21/05/2025;;C
29358;157;1;11046;Programado;Preventivo;IQ1;1.196.044,00;08/05/2025;09/05/2025;;C
29212;157;1;8354;Programado;Preventivo;IB;1.190.529,00;24/04/2025;25/04/2025;;C
29071;157;1;6122;Programado;Preventivo;IQ3;1.185.564,00;10/04/2025;11/04/2025;;C
28934;157;1;4-47370;Programado;Preventivo;IQ2;1.179.596,00;27/03/2025;28/03/2025;;C
28790;157;1;130-19217;Programado;Preventivo;IQ1;1.172.591,00;12/03/2025;13/03/2025;;C
28622;157;1;4-46898;Programado;Preventivo;IB;1.166.600,00;25/02/2025;26/02/2025;;C
28454;157;1;130-19016;Programado;Preventivo;IQ3;1.160.804,00;10/02/2025;11/02/2025;;C
28304;157;1;130-18913;Programado;Preventivo;IQ2;1.153.964,00;26/01/2025;27/01/2025;;C
28158;157;1;130-18815;Programado;Preventivo;IQ1;1.147.512,00;12/01/2025;13/01/2025;;C
27958;157;1;4-45973;Programado;Preventivo;IB;1.141.891,00;25/12/2024;26/12/2024;;C
28041;157;1;287-12225;Programado;Preventivo;Tareas de OT;1.138.443,00;17/12/2024;17/12/2024;;C
27840;157;1;130-18604;Programado;Preventivo;IQ3;1.136.383,00;12/12/2024;13/12/2024;;C
27701;157;1;130-18510;Programado;Preventivo;IQ2;1.131.327,00;29/11/2024;30/11/2024;;C
27551;157;1;130-18417;Programado;Preventivo;IQ1;1.124.897,00;15/11/2024;16/11/2024;;C
27393;157;1;4-45116;Programado;Preventivo;IB;1.119.307,00;04/11/2024;05/11/2024;;C
27240;157;1;130-18244;Programado;Preventivo;IQ3;1.114.218,00;20/10/2024;21/10/2024;;C
27094;157;1;130-18147;Programado;Preventivo;IQ2;1.107.276,00;05/10/2024;06/10/2024;;C
27000;157;1;130-18080;Programado;Preventivo;IQ1;1.101.951,00;25/09/2024;26/09/2024;;C
26790;157;1;4-44274;Programado;Preventivo;IB;1.095.257,00;08/09/2024;09/09/2024;;C
26659;157;1;130-17874;Programado;Preventivo;IQ3;1.088.121,00;25/08/2024;26/08/2024;;C
26511;157;1;130-17803;Programado;Preventivo;IQ2;1.082.001,00;13/08/2024;14/08/2024;;C
